entity_id,state,last_changed
sensor.sunvec_capacidad_bateria_slave_1,0,2025-03-12T23:00:00.000Z
sensor.sunvec_capacidad_bateria_slave_1,26,2025-03-13T05:55:58.240Z
sensor.sunvec_capacidad_bateria_slave_1,25,2025-03-13T08:38:58.084Z
sensor.sunvec_capacidad_bateria_slave_1,24,2025-03-13T10:04:57.990Z
sensor.sunvec_capacidad_bateria_slave_1,23,2025-03-13T11:50:57.894Z
sensor.sunvec_capacidad_bateria_slave_1,22,2025-03-13T12:48:57.776Z
sensor.sunvec_capacidad_bateria_slave_1,unavailable,2025-03-13T13:18:29.155Z
sensor.sunvec_capacidad_bateria_slave_1,22,2025-03-13T13:18:30.730Z
sensor.sunvec_capacidad_bateria_slave_1,21,2025-03-13T13:22:57.792Z
sensor.sunvec_capacidad_bateria_slave_1,20,2025-03-13T14:16:57.694Z
sensor.sunvec_capacidad_bateria_slave_1,19,2025-03-13T14:52:57.702Z
sensor.sunvec_capacidad_bateria_slave_1,unavailable,2025-03-13T15:06:53.716Z
sensor.sunvec_capacidad_bateria_slave_1,unknown,2025-03-13T15:07:07.201Z
sensor.sunvec_capacidad_bateria_slave_1,19,2025-03-13T15:07:20.124Z
sensor.sunvec_capacidad_bateria_slave_1,18,2025-03-13T16:04:12.719Z
sensor.sunvec_capacidad_bateria_slave_1,17,2025-03-13T17:44:12.590Z
sensor.sunvec_capacidad_bateria_slave_1,0,2025-03-13T18:19:12.537Z
